geneSymbol	healthy	V2	V3	V4	V5	disease	V7	V8	V9	V10
P2RY10	0.9921407468728844	1.0724499074396636	1.7043645389351145	1.853913015987937	2.258528317211779	5.034614395207896	5.261417641046496	5.890811954792924	5.96804560741285	5.185426263360027
SP140	1.42480425096608	0.8973687046347874	1.8045435168877983	1.5496846746212163	1.9848088633524061	4.140744239041744	5.0832492391979764	5.376778712818227	5.202222608041701	4.912722058808684
DOCK8	4.954753692845939	4.839340429965545	5.209063200773399	5.246501902214823	5.825326000170396	7.169033593202839	7.995975693655796	8.111120175829615	8.008295756815071	7.989423843978877
FCGR3A	0.8012197649110554	-0.4594635433506325	1.4116035286259514	1.3745925310567804	2.859271696556224	7.610345192675034	8.602251182579113	9.160304714654153	8.951418235298531	9.171883668873004
RELB	2.5797849764640786	2.584854894306172	2.6938585642376456	2.9247884595951783	3.329417682126421	5.104010168916374	5.2337032478284184	5.1723652433356975	5.401251233403083	5.295568275253778
ARHGAP25	3.3980768134775072	3.420515068474634	3.6623273010230624	3.6324202564181056	3.974659296224271	5.842570107275695	6.09219038246643	5.935443988615365	6.319893417077929	6.247099711719871
IGHV3-74	-2.441687082750912	-2.589069710698634	-0.8770049826877455	-1.1822029583437912	-0.6970723776747714	6.711966463616715	6.362962645782013	6.439845152143958	7.214995749614511	7.107398523809941
SDC3	4.875604685757636	4.905800342752085	4.904187743210519	4.738154722361927	5.360111366748071	7.537034180026862	7.500852403879293	7.658459021067074	7.826965515391013	8.038675742918663
P2RY8	0.16621246620003693	0.4991644884620664	0.7600976858016357	0.1282803596922518	0.6358338512829032	4.432707777116061	4.610786138852853	4.737575276007834	5.333064601381416	4.3125552030507945
FAM20A	2.9459855269174886	3.181060510086484	3.485678708683504	2.956215151181852	3.53052564807547	6.674194303728522	6.740647402419727	6.751344453104806	7.29691031999591	6.743430536253299
CD6	1.7409921516784435	1.760552682208653	2.4949714056885024	1.4447014127277393	2.541554530771392	5.199238347277583	5.338127479793959	5.89344866340114	5.763025923535712	5.00061987272957
SLA2	0.5259817851690038	0.4508682905182502	1.4997904469943066	1.0488824973902655	2.1670381791294773	4.787264308571614	4.689076814800737	5.256237241231788	5.827963206998941	4.686695861499989
IGLV1-51	-3.5479693324289863	-2.0890593375991355	-1.0486860614102562	-1.8667069432859045	0.006570570732201086	6.663117879601165	5.861483960059687	6.334220863781456	8.543509214323821	5.940212748167624
IL12RB1	0.4083473225562641	1.0616718725497487	1.8321566324114609	1.3708426563791767	1.9224849413281333	5.026938784654696	5.145031383413558	5.630830216249098	5.886835269527014	4.8547491408154215
IGHV3-33	-2.614506046536239	-1.8215585253970104	0.09796596797585355	-0.7666197903351022	0.03966647906220487	6.418207203489445	6.855191499637228	7.280697720706286	7.560047162894095	5.801806026935611
IGHGP	-2.879062921949903	-1.6813634190939923	0.4663290496912246	-0.9726513400395577	0.6007110878921926	6.963073410514692	8.130209894057346	7.3399049028178185	9.643125167558123	7.209416852259314
TCIRG1	3.032537540816757	4.035370962410704	3.8332693946985126	4.022853425721321	4.8088213732212886	7.000298564870117	7.170205180413097	7.49080571992396	7.686052021792734	7.035921133657152
GNGT2	-2.9481067508761867	-1.437449306713696	-2.095170919177483	-1.6290628052504066	-0.755191534193886	1.452175198584175	2.147554394891002	2.2849262347849173	2.5771949209759675	2.122323117552379
RGS19	2.1513993327654877	3.030829650434781	2.5493255852857524	3.208117139682614	3.492277050596278	5.296643143692982	5.525888532931682	5.668942057606931	5.555900897695166	5.207759176921868
ARHGAP4	2.2735534847570666	3.557882445012167	3.0013628888952666	3.548351875051612	4.127314769395119	6.153410602245462	6.8167340383164365	6.98011550410962	6.919323827194974	6.323423923243488
FGD3	2.7640857633520173	2.9194433303782272	2.7002100992489706	3.4251012788144366	3.8092570705480275	5.567276010404975	5.844495655460485	6.12113791969962	6.198332532157321	5.768904263734253
CD3E	-0.2865873373466148	0.5817850915931106	-0.03994594854608395	1.1134792644183706	1.4218995585965177	4.119481752079864	5.033409869224964	5.004422993015036	5.200025541969555	5.060822994137687
RARRES3	0.784078837186995	2.294351749734119	1.5082835867057294	2.1999546251311983	3.5954478492226762	6.568906323496449	6.317949568486767	7.617415724763363	7.5942532848254185	6.631088747257948
CTSL	2.21414573226114	3.3547898820716466	2.82716139944058	3.2934445891795363	4.120882407422822	6.484149662696779	6.539915123979118	7.665812641156906	7.170283026843851	6.554068244665127
APOL2	3.353363635536489	4.494448064109844	3.8222543000441496	4.108224638898564	4.8163412439724835	6.799980575461053	7.036869973010351	7.858913667765091	7.825496251836478	7.489510490887577
HAPLN3	1.7031917273356652	2.627225839824086	1.8321390976142906	2.289309161234477	3.3267739807332664	6.608750821941733	6.875541058890032	7.530958938951015	7.504023136773448	6.8420142841404115
EPSTI1	1.9286123066003777	2.9756038771461153	2.6783538199727115	2.5671210662251336	4.1498968295932865	7.605134400493379	7.505793491409129	8.510620864557675	8.373220464598742	7.775387222774253
SEPT1	0.9287481682481648	1.3780289579683962	1.4792202975586624	1.435227871507739	2.3191874677866413	4.492190189615558	5.066596780364786	5.511267114182574	5.467690076340752	4.8070032293702045
LCK	0.3878567529776589	1.3005569702427469	1.2985432385391948	1.2623183262833173	2.3226937613393113	6.056559582610969	6.287905921739535	7.154797932438717	7.165704276029798	5.8478694910458815
PIK3AP1	3.368094992288797	4.1840954673314386	3.9077976005323998	4.114636462606629	5.677159158282896	7.996014187442164	8.6037605085949	8.662464805116665	8.942826632750382	8.614496588264718
ICAM1	2.9115465273232473	3.6720758962253086	3.410503815661312	3.50739575031065	5.017133256091444	7.794272652659511	8.459899527154436	8.72615354633481	8.75042242576771	8.320223153944088
SLAMF6	-0.5016334100571114	0.38823225230893893	0.529154584509021	0.2835805389111774	2.0646068605840933	4.382555926091735	4.8712480579578425	5.374002794895958	5.307594286597458	4.904106175348567
NCKAP1L	4.429119223250793	4.973110916618164	4.96946239259645	5.27876147401781	6.2146508340698174	8.049929060271998	8.427992739093046	8.58691481109854	8.768647318957127	8.57146776234075
CCDC88B	2.421304153921042	3.0255862723552616	2.6750731284364986	3.13309120577592	3.9890358736252685	5.359946215400132	6.052967608972725	6.239653386609083	6.26031025616318	5.976641967519553
XIRP1	-3.902894363711561	-3.376642939448515	-2.6240709142457477	-1.7210285718590255	0.7122765839793421	4.769740613677699	4.832068501292844	6.476660986208062	5.886984271382319	5.769954234829895
RASAL3	0.5806741928458355	0.9286894323304443	1.339112057300644	1.4363472436739633	2.6570197161316518	5.207647661723945	5.228894216450295	6.107647519242816	5.952978799070267	5.27216845994879
CXorf21	0.10633518255086555	0.7979658541788968	0.9418198095223469	1.1198200171069017	1.3572625065570803	3.498677758929317	4.087423404658117	4.198921202482653	4.274965792831402	4.05698753786768
CFB	3.0091499332542075	3.841598944331057	4.150409758850833	4.022859938380928	4.663114681713726	6.876204741452572	7.385089876299977	7.699113926043843	7.33030704355985	7.318130409470437
IL24	-4.479593537981128	-3.8197078423905033	-2.781041807905406	-3.473100590309908	-2.146535810184127	2.8504009588082377	4.4116583732909405	4.77285246918408	4.67943910132832	4.188170812411918
SLC11A1	1.1013740060537185	2.2720644222149833	2.395767162030877	2.3714889230251797	3.017190776948105	5.925483553757102	7.149617600202963	7.237978319392345	6.793641684505517	7.005798447504328
LCP2	1.6733266050288906	2.968399685299706	2.885200556487757	3.0880113886556533	3.548857528292474	6.0193445846319875	7.507756117458313	7.103074691634759	7.141773808269887	7.181085502320768
TRGV3	-3.6858373465488006	-2.760799341686029	-2.7332099914174486	-2.7205584860573637	-2.146535810184127	0.597050002699606	1.6688552027755	1.5920491594031647	1.949129551097161	0.7178983509352458
SCARF1	2.481335248308101	3.112118953834154	3.186129780850295	3.0349578993546564	3.7486333556114158	5.255631457177985	6.257836954768587	6.170525218987999	6.015749185894895	5.657695906078929
